Driver,DriverNumber,LapNumber,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Stint,Compound,TyreLife,FreshTyre,PitInTime,PitOutTime,TrackStatus,Position,Deleted
STR,18,31.0,96.202,30.622,41.79,23.79,3.0,HARD,4.0,True,,,1,15.0,False
STR,18,32.0,95.821,30.248,41.8,23.773,3.0,HARD,5.0,True,,,1,15.0,False
STR,18,33.0,96.349,30.607,42.088,23.654,3.0,HARD,6.0,True,,,1,13.0,False
STR,18,34.0,96.332,30.969,41.709,23.654,3.0,HARD,7.0,True,,,1,13.0,False
STR,18,35.0,96.242,30.837,41.766,23.639,3.0,HARD,8.0,True,,,1,12.0,False
STR,18,36.0,96.086,30.694,41.748,23.644,3.0,HARD,9.0,True,,,1,11.0,False
STR,18,37.0,95.987,30.676,41.775,23.536,3.0,HARD,10.0,True,,,1,10.0,False
STR,18,38.0,96.364,30.776,41.926,23.662,3.0,HARD,11.0,True,,,1,10.0,False
STR,18,39.0,96.353,30.792,41.959,23.602,3.0,HARD,12.0,True,,,1,10.0,False
STR,18,40.0,96.485,30.896,41.927,23.662,3.0,HARD,13.0,True,,,1,10.0,False
STR,18,41.0,96.322,30.877,41.749,23.696,3.0,HARD,14.0,True,,,1,10.0,False
STR,18,42.0,96.343,30.774,41.917,23.652,3.0,HARD,15.0,True,,,1,9.0,False
STR,18,43.0,96.304,30.843,41.859,23.602,3.0,HARD,16.0,True,,,1,9.0,False
STR,18,44.0,96.564,30.788,42.023,23.753,3.0,HARD,17.0,True,,,1,9.0,False
STR,18,45.0,96.243,30.712,41.834,23.697,3.0,HARD,18.0,True,,,1,9.0,False
STR,18,46.0,96.379,30.808,41.882,23.689,3.0,HARD,19.0,True,,,1,9.0,False
STR,18,47.0,96.298,30.835,41.744,23.719,3.0,HARD,20.0,True,,,1,9.0,False
STR,18,48.0,97.325,31.346,42.156,23.823,3.0,HARD,21.0,True,,,1,10.0,False
STR,18,49.0,96.871,30.92,42.119,23.832,3.0,HARD,22.0,True,,,1,10.0,False
STR,18,50.0,96.541,30.808,41.978,23.755,3.0,HARD,23.0,True,,,1,10.0,False
STR,18,51.0,96.763,30.882,42.075,23.806,3.0,HARD,24.0,True,,,1,10.0,False
STR,18,52.0,96.934,31.144,42.016,23.774,3.0,HARD,25.0,True,,,1,10.0,False
STR,18,53.0,96.64,30.894,42.017,23.729,3.0,HARD,26.0,True,,,1,10.0,False
STR,18,54.0,96.693,30.938,41.971,23.784,3.0,HARD,27.0,True,,,1,10.0,False
STR,18,55.0,96.68,30.92,41.999,23.761,3.0,HARD,28.0,True,,,1,10.0,False
STR,18,56.0,96.582,30.87,41.951,23.761,3.0,HARD,29.0,True,,,1,10.0,False
STR,18,57.0,97.335,30.994,42.237,24.104,3.0,HARD,30.0,True,,,1,10.0,False
ZHO,24,1.0,104.801,,43.576,24.294,1.0,SOFT,1.0,True,,,12,13.0,False
ZHO,24,2.0,98.92,31.452,43.135,24.333,1.0,SOFT,2.0,True,,,1,13.0,False
ZHO,24,3.0,98.582,31.044,43.084,24.454,1.0,SOFT,3.0,True,,,1,13.0,False
ZHO,24,4.0,98.428,30.977,43.004,24.447,1.0,SOFT,4.0,True,,,1,13.0,False
ZHO,24,5.0,98.798,31.116,43.178,24.504,1.0,SOFT,5.0,True,,,1,13.0,False
ZHO,24,6.0,98.488,30.86,43.064,24.564,1.0,SOFT,6.0,True,,,1,13.0,False
ZHO,24,7.0,99.517,31.488,43.47,24.559,1.0,SOFT,7.0,True,,,1,13.0,False
ZHO,24,8.0,99.646,31.786,43.138,24.722,1.0,SOFT,8.0,True,,,1,13.0,False
ZHO,24,9.0,101.849,31.33,43.094,27.425,1.0,SOFT,9.0,True,4497.559,,1,16.0,False
ZHO,24,10.0,119.328,53.287,42.225,23.816,2.0,HARD,1.0,True,,4522.7,12,17.0,False
ZHO,24,11.0,96.365,30.815,41.738,23.812,2.0,HARD,2.0,True,,,1,16.0,False
ZHO,24,12.0,96.995,31.006,42.207,23.782,2.0,HARD,3.0,True,,,1,15.0,False
ZHO,24,13.0,97.436,30.982,42.435,24.019,2.0,HARD,4.0,True,,,1,13.0,False
ZHO,24,14.0,97.482,31.086,42.431,23.965,2.0,HARD,5.0,True,,,1,12.0,False
ZHO,24,15.0,97.5,31.03,42.429,24.041,2.0,HARD,6.0,True,,,1,11.0,False
ZHO,24,16.0,97.659,31.166,42.398,24.095,2.0,HARD,7.0,True,,,1,9.0,False
ZHO,24,17.0,98.475,31.431,42.856,24.188,2.0,HARD,8.0,True,,,1,10.0,False
ZHO,24,18.0,97.552,30.919,42.585,24.048,2.0,HARD,9.0,True,,,1,10.0,False
ZHO,24,19.0,97.652,30.887,42.658,24.107,2.0,HARD,10.0,True,,,1,10.0,False
ZHO,24,20.0,97.749,31.239,42.477,24.033,2.0,HARD,11.0,True,,,1,10.0,False
ZHO,24,21.0,97.947,31.22,42.705,24.022,2.0,HARD,12.0,True,,,1,10.0,False
ZHO,24,22.0,97.852,31.171,42.584,24.097,2.0,HARD,13.0,True,,,1,10.0,False
ZHO,24,23.0,97.788,31.092,42.647,24.049,2.0,HARD,14.0,True,,,1,10.0,False
ZHO,24,24.0,97.894,31.14,42.602,24.152,2.0,HARD,15.0,True,,,1,10.0,False
ZHO,24,25.0,97.883,31.246,42.532,24.105,2.0,HARD,16.0,True,,,1,10.0,False
ZHO,24,26.0,97.995,31.266,42.658,24.071,2.0,HARD,17.0,True,,,1,10.0,False
ZHO,24,27.0,98.053,31.367,42.594,24.092,2.0,HARD,18.0,True,,,1,10.0,False
ZHO,24,28.0,100.675,31.279,42.58,26.816,2.0,HARD,19.0,True,6377.855,,1,11.0,False
ZHO,24,29.0,117.076,52.137,41.43,23.509,3.0,HARD,1.0,True,,6402.838,1,17.0,False
ZHO,24,30.0,95.458,30.674,41.19,23.594,3.0,HARD,2.0,True,,,1,17.0,False
ZHO,24,31.0,96.297,30.846,41.644,23.807,3.0,HARD,3.0,True,,,1,14.0,False
ZHO,24,32.0,96.048,30.646,41.735,23.667,3.0,HARD,4.0,True,,,1,14.0,False
ZHO,24,33.0,97.971,31.535,42.387,24.049,3.0,HARD,5.0,True,,,1,14.0,False
ZHO,24,34.0,96.518,30.678,41.938,23.902,3.0,HARD,6.0,True,,,1,14.0,False
ZHO,24,35.0,96.546,30.612,41.954,23.98,3.0,HARD,7.0,True,,,1,13.0,False
